Ciakathukure Dispensary,Level 2,Dispensary,Embu,Mbeere North,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Giika Dispensary,Level 2,Dispensary,Meru,Igembe South,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Weyeta Medical Clinic,Level 2,Medical Clinic,Bungoma,Kabuchai,Operational,Management of Sexually Transmitted Illness (STI)
Bewa Medical clinic,Level 2,Medical Clinic,Bungoma,Kabuchai,Closed,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Makhonge Dispensary,Level 2,Dispensary,Bungoma,Kabuchai,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Lelgut Dispensary,Level 2,Dispensary,Baringo,Baringo Central,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Orokwo Dispensary,Level 2,Dispensary,Baringo,Baringo Central,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Magonoi Dispensary,Level 2,Dispensary,Baringo,Baringo Central,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
Kasoiyo Dispensary,Level 2,Dispensary,Baringo,Baringo Central,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kongoli Dispensary,Level 2,Dispensary,Bungoma,Kanduyi,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Ranje Dispensary,Level 2,Dispensary,Bungoma,Kanduyi,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Modesty Medical Centre,Level 3,Medical Center,Kirinyaga,Kirinyaga South,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
St James   Amenity Hospital,Level 3,Medical Center,Kakamega,Butere,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
